Entity,Code,Year,Global food loss index - Total or no breakdown
Asia (UN),,2015,100
Asia (UN),,2016,96.83
Asia (UN),,2017,95.67
Asia (UN),,2018,98.41
Asia (UN),,2019,99.26
Asia (UN),,2020,98.52
Asia (UN),,2021,98.54
Asia (UN),,2022,98.52
Asia (UN),,2023,98.53
Australia and New Zealand (UN SDG),,2015,100
Australia and New Zealand (UN SDG),,2016,99.56
Australia and New Zealand (UN SDG),,2017,99.52
Australia and New Zealand (UN SDG),,2018,102.16
Australia and New Zealand (UN SDG),,2019,104.58
Australia and New Zealand (UN SDG),,2020,104.46
Australia and New Zealand (UN SDG),,2021,104.47
Australia and New Zealand (UN SDG),,2022,104.45
Australia and New Zealand (UN SDG),,2023,104.46
Central and Southern Asia (UN SDG),,2015,100
Central and Southern Asia (UN SDG),,2016,96.69
Central and Southern Asia (UN SDG),,2017,95.73
Central and Southern Asia (UN SDG),,2018,95.92
Central and Southern Asia (UN SDG),,2019,95.58
Central and Southern Asia (UN SDG),,2020,95.04
Central and Southern Asia (UN SDG),,2021,95.06
Central and Southern Asia (UN SDG),,2022,95.04
Central and Southern Asia (UN SDG),,2023,95.05
Eastern and South-Eastern Asia (UN SDG),,2015,100
Eastern and South-Eastern Asia (UN SDG),,2016,97.39
Eastern and South-Eastern Asia (UN SDG),,2017,96.22
Eastern and South-Eastern Asia (UN SDG),,2018,100.21
Eastern and South-Eastern Asia (UN SDG),,2019,101.87
Eastern and South-Eastern Asia (UN SDG),,2020,100.7
Eastern and South-Eastern Asia (UN SDG),,2021,100.71
Eastern and South-Eastern Asia (UN SDG),,2022,100.69
Eastern and South-Eastern Asia (UN SDG),,2023,100.7
Europe (UN),,2015,100
Europe (UN),,2016,96.14
Europe (UN),,2017,96.89
Europe (UN),,2018,100.45
Europe (UN),,2019,101.67
Europe (UN),,2020,101.01
Europe (UN),,2021,101.02
Europe (UN),,2022,101
Europe (UN),,2023,101.01
Europe and Northern America (UN SDG),,2015,100
Europe and Northern America (UN SDG),,2016,99.47
Europe and Northern America (UN SDG),,2017,101.12
Europe and Northern America (UN SDG),,2018,104.24
Europe and Northern America (UN SDG),,2019,105.94
Europe and Northern America (UN SDG),,2020,106.74
Europe and Northern America (UN SDG),,2021,106.76
Europe and Northern America (UN SDG),,2022,106.74
Europe and Northern America (UN SDG),,2023,106.75
Latin America and the Caribbean (UN SDG),,2015,100
Latin America and the Caribbean (UN SDG),,2016,99.74
Latin America and the Caribbean (UN SDG),,2017,99.88
Latin America and the Caribbean (UN SDG),,2018,99.65
Latin America and the Caribbean (UN SDG),,2019,101.19
Latin America and the Caribbean (UN SDG),,2020,100.65
Latin America and the Caribbean (UN SDG),,2021,100.66
Latin America and the Caribbean (UN SDG),,2022,100.64
Latin America and the Caribbean (UN SDG),,2023,100.65
Latin America and the Caribbean (UN),,2015,100
Latin America and the Caribbean (UN),,2016,99.74
Latin America and the Caribbean (UN),,2017,99.88
Latin America and the Caribbean (UN),,2018,99.65
Latin America and the Caribbean (UN),,2019,101.19
Latin America and the Caribbean (UN),,2020,100.65
Latin America and the Caribbean (UN),,2021,100.66
Latin America and the Caribbean (UN),,2022,100.64
Latin America and the Caribbean (UN),,2023,100.65
Least Developed Countries (LDCs),,2015,100
Least Developed Countries (LDCs),,2016,97.83
Least Developed Countries (LDCs),,2017,97.69
Least Developed Countries (LDCs),,2018,100.51
Least Developed Countries (LDCs),,2019,102.43
Least Developed Countries (LDCs),,2020,103.05
Least Developed Countries (LDCs),,2021,103.07
Least Developed Countries (LDCs),,2022,103.05
Least Developed Countries (LDCs),,2023,103.06
Northern Africa and Western Asia (UN SDG),,2015,100
Northern Africa and Western Asia (UN SDG),,2016,93.99
Northern Africa and Western Asia (UN SDG),,2017,94.98
Northern Africa and Western Asia (UN SDG),,2018,101.12
Northern Africa and Western Asia (UN SDG),,2019,105.13
Northern Africa and Western Asia (UN SDG),,2020,106.62
Northern Africa and Western Asia (UN SDG),,2021,106.64
Northern Africa and Western Asia (UN SDG),,2022,106.62
Northern Africa and Western Asia (UN SDG),,2023,106.63
Northern America (UN),,2015,100
Northern America (UN),,2016,101.52
Northern America (UN),,2017,103.71
Northern America (UN),,2018,106.56
Northern America (UN),,2019,108.55
Northern America (UN),,2020,110.25
Northern America (UN),,2021,110.26
Northern America (UN),,2022,110.24
Northern America (UN),,2023,110.25
Oceania (UN SDG),,2015,100
Oceania (UN SDG),,2016,99.06
Oceania (UN SDG),,2017,97.22
Oceania (UN SDG),,2018,103.74
Oceania (UN SDG),,2019,107.83
Oceania (UN SDG),,2020,108.13
Oceania (UN SDG),,2021,108.15
Oceania (UN SDG),,2022,108.13
Oceania (UN SDG),,2023,108.14
Oceania (UN),,2015,100
Oceania (UN),,2016,99.52
Oceania (UN),,2017,99.34
Oceania (UN),,2018,102.29
Oceania (UN),,2019,104.83
Oceania (UN),,2020,104.74
Oceania (UN),,2021,104.76
Oceania (UN),,2022,104.74
Oceania (UN),,2023,104.75
Small Island Developing States (SIDS),,2015,100
Small Island Developing States (SIDS),,2016,98.97
Small Island Developing States (SIDS),,2017,97.58
Small Island Developing States (SIDS),,2018,102.51
Small Island Developing States (SIDS),,2019,105.75
Small Island Developing States (SIDS),,2020,105.63
Small Island Developing States (SIDS),,2021,105.65
Small Island Developing States (SIDS),,2022,105.63
Small Island Developing States (SIDS),,2023,105.64
Sub-Saharan Africa (UN SDG),,2015,100
Sub-Saharan Africa (UN SDG),,2016,99.32
Sub-Saharan Africa (UN SDG),,2017,98.54
Sub-Saharan Africa (UN SDG),,2018,102.01
Sub-Saharan Africa (UN SDG),,2019,103.44
Sub-Saharan Africa (UN SDG),,2020,103.63
Sub-Saharan Africa (UN SDG),,2021,103.65
Sub-Saharan Africa (UN SDG),,2022,103.63
Sub-Saharan Africa (UN SDG),,2023,103.64
World,OWID_WRL,2015,100
World,OWID_WRL,2016,98.32
World,OWID_WRL,2017,98.36
World,OWID_WRL,2018,100.65
World,OWID_WRL,2019,102.01
World,OWID_WRL,2020,101.98
World,OWID_WRL,2021,102
World,OWID_WRL,2022,101.98
World,OWID_WRL,2023,101.99